Lambda (L)   | EGR [%]    | Velocity S_L [cm/s]    | Max Temperature [K]  | Flame Status      
--------------------------------------------------------------------------------------------
0.80         | 0.0        | 29.46                  | 2092.8               | Stable            
0.80         | 2.5        | 24.61                  | 2043.5               | Stable            
0.80         | 5.0        | 20.24                  | 1993.3               | Stable            
0.80         | 7.5        | 16.42                  | 1943.3               | Stable            
0.80         | 10.0       | 13.11                  | 1893.7               | Stable            
0.80         | 12.5       | 10.27                  | 1844.6               | Stable            
0.80         | 15.0       | 7.90                   | 1796.2               | Stable            
0.80         | 17.5       | 5.93                   | 1748.2               | Stable            
0.80         | 20.0       | 4.31                   | 1700.4               | Stable            
0.80         | 21.562        | 3.50                   | 1671.4               | Quenched (Limit)  
0.90         | 0.0        | 38.28                  | 2203.9               | Stable            
0.90         | 2.5        | 32.35                  | 2154.0               | Stable            
0.90         | 5.0        | 27.18                  | 2103.1               | Stable            
0.90         | 7.5        | 22.68                  | 2051.4               | Stable            
0.90         | 10.0       | 18.73                  | 1998.9               | Stable            
0.90         | 12.5       | 15.40                  | 1947.2               | Stable            
0.90         | 15.0       | 12.53                  | 1895.8               | Stable            
0.90         | 17.5       | 10.06                  | 1844.4               | Stable            
0.90         | 20.0       | 7.96                   | 1793.4               | Stable            
0.90         | 22.5       | 6.18                   | 1742.5               | Stable            
0.90         | 25.0       | 4.65                   | 1691.8               | Stable            
0.90         | 27.188        | 3.55                   | 1648.1               | Quenched (Limit)  
1.00         | 0.0        | 38.21                  | 2228.9               | Stable            
1.00         | 2.5        | 32.32                  | 2181.6               | Stable            
1.00         | 5.0        | 27.20                  | 2133.5               | Stable            
1.00         | 7.5        | 22.81                  | 2085.4               | Stable            
1.00         | 10.0       | 19.02                  | 2036.8               | Stable            
1.00         | 12.5       | 15.74                  | 1987.2               | Stable            
1.00         | 15.0       | 12.93                  | 1937.3               | Stable            
1.00         | 17.5       | 10.51                  | 1887.4               | Stable            
1.00         | 20.0       | 8.42                   | 1836.4               | Stable            
1.00         | 22.5       | 6.67                   | 1786.0               | Stable            
1.00         | 25.0       | 5.17                   | 1736.2               | Stable            
1.00         | 27.5       | 3.93                   | 1687.0               | Stable            
1.00         | 28.438        | 3.52                   | 1668.4               | Quenched (Limit)  
1.10         | 0.0        | 34.75                  | 2148.4               | Stable            
1.10         | 2.5        | 29.33                  | 2098.8               | Stable            
1.10         | 5.0        | 24.63                  | 2048.8               | Stable            
1.10         | 7.5        | 20.63                  | 1998.9               | Stable            
1.10         | 10.0       | 17.13                  | 1949.1               | Stable            
1.10         | 12.5       | 14.13                  | 1898.3               | Stable            
1.10         | 15.0       | 11.56                  | 1847.2               | Stable            
1.10         | 17.5       | 9.35                   | 1796.3               | Stable            
1.10         | 20.0       | 7.49                   | 1745.3               | Stable            
1.10         | 22.5       | 5.92                   | 1695.5               | Stable            
1.10         | 25.0       | 4.59                   | 1646.3               | Stable            
1.10         | 27.344        | 3.54                   | 1600.8               | Quenched (Limit)  
1.20         | 0.0        | 30.03                  | 2047.7               | Stable            
1.20         | 2.5        | 25.26                  | 1997.7               | Stable            
1.20         | 5.0        | 21.12                  | 1947.2               | Stable            
1.20         | 7.5        | 17.58                  | 1897.1               | Stable            
1.20         | 10.0       | 14.50                  | 1847.5               | Stable            
1.20         | 12.5       | 11.87                  | 1797.7               | Stable            
1.20         | 15.0       | 9.62                   | 1748.2               | Stable            
1.20         | 17.5       | 7.73                   | 1699.4               | Stable            
1.20         | 20.0       | 6.12                   | 1651.1               | Stable            
1.20         | 22.5       | 4.76                   | 1603.6               | Stable            
1.20         | 25.0       | 3.64                   | 1556.9               | Stable            
1.20         | 25.312        | 3.52                   | 1551.0               | Quenched (Limit)  
1.30         | 0.0        | 25.30                  | 1951.4               | Stable            
1.30         | 2.5        | 21.14                  | 1902.0               | Stable            
1.30         | 5.0        | 17.56                  | 1852.5               | Stable            
1.30         | 7.5        | 14.47                  | 1803.6               | Stable            
1.30         | 10.0       | 11.83                  | 1755.2               | Stable            
1.30         | 12.5       | 9.55                   | 1708.0               | Stable            
1.30         | 15.0       | 7.65                   | 1660.8               | Stable            
1.30         | 17.5       | 6.05                   | 1614.3               | Stable            
1.30         | 20.0       | 4.71                   | 1568.8               | Stable            
1.30         | 22.5       | 3.60                   | 1523.5               | Stable            
1.30         | 22.656        | 3.53                   | 1520.7               | Quenched (Limit)  
