Lambda (L)   | EGR [%]    | Velocity S_L [cm/s]    | Max Temperature [K]  | Flame Status      
--------------------------------------------------------------------------------------------
0.80         | 0.0        | 29.46                  | 2092.8               | Stable            
0.80         | 2.5        | 24.50                  | 2042.0               | Stable            
0.80         | 5.0        | 20.14                  | 1991.9               | Stable            
0.80         | 7.5        | 16.26                  | 1943.0               | Stable            
0.80         | 10.0       | 13.02                  | 1894.0               | Stable            
0.80         | 12.5       | 10.22                  | 1844.6               | Stable            
0.80         | 15.0       | 7.83                   | 1795.5               | Stable            
0.80         | 17.5       | 5.82                   | 1746.3               | Stable            
0.80         | 20.0       | 4.22                   | 1698.6               | Stable            
0.80         | 22.5       | 3.00                   | 1651.1               | Quenched (Limit)  
0.90         | 0.0        | 38.28                  | 2203.9               | Stable            
0.90         | 2.5        | 32.30                  | 2152.7               | Stable            
0.90         | 5.0        | 27.11                  | 2101.5               | Stable            
0.90         | 7.5        | 22.60                  | 2050.0               | Stable            
0.90         | 10.0       | 18.70                  | 1997.6               | Stable            
0.90         | 12.5       | 15.32                  | 1944.9               | Stable            
0.90         | 15.0       | 12.46                  | 1893.4               | Stable            
0.90         | 17.5       | 9.97                   | 1841.8               | Stable            
0.90         | 20.0       | 7.90                   | 1790.6               | Stable            
0.90         | 22.5       | 6.13                   | 1739.6               | Stable            
0.90         | 25.0       | 4.62                   | 1689.8               | Stable            
0.90         | 27.5       | 3.37                   | 1639.2               | Quenched (Limit)  
1.00         | 0.0        | 38.21                  | 2228.9               | Stable            
1.00         | 2.5        | 32.28                  | 2181.1               | Stable            
1.00         | 5.0        | 27.20                  | 2133.4               | Stable            
1.00         | 7.5        | 22.76                  | 2082.7               | Stable            
1.00         | 10.0       | 18.96                  | 2032.9               | Stable            
1.00         | 12.5       | 15.71                  | 1986.0               | Stable            
1.00         | 15.0       | 12.89                  | 1935.9               | Stable            
1.00         | 17.5       | 10.46                  | 1886.2               | Stable            
1.00         | 20.0       | 8.43                   | 1836.3               | Stable            
1.00         | 22.5       | 6.67                   | 1786.3               | Stable            
1.00         | 25.0       | 5.18                   | 1736.3               | Stable            
1.00         | 27.5       | 3.93                   | 1686.7               | Stable            
1.00         | 30.0       | 2.90                   | 1637.3               | Quenched (Limit)  
1.10         | 0.0        | 34.75                  | 2148.4               | Stable            
1.10         | 2.5        | 29.29                  | 2099.0               | Stable            
1.10         | 5.0        | 24.57                  | 2049.3               | Stable            
1.10         | 7.5        | 20.53                  | 1998.6               | Stable            
1.10         | 10.0       | 17.07                  | 1948.5               | Stable            
1.10         | 12.5       | 14.10                  | 1897.8               | Stable            
1.10         | 15.0       | 11.54                  | 1847.4               | Stable            
1.10         | 17.5       | 9.37                   | 1797.6               | Stable            
1.10         | 20.0       | 7.53                   | 1747.5               | Stable            
1.10         | 22.5       | 5.95                   | 1697.5               | Stable            
1.10         | 25.0       | 4.61                   | 1648.3               | Stable            
1.10         | 27.5       | 3.51                   | 1599.4               | Stable            
1.10         | 30.0       | 2.60                   | 1551.0               | Quenched (Limit)  
1.20         | 0.0        | 30.03                  | 2047.7               | Stable            
1.20         | 2.5        | 25.26                  | 1997.1               | Stable            
1.20         | 5.0        | 21.11                  | 1948.3               | Stable            
1.20         | 7.5        | 17.52                  | 1898.1               | Stable            
1.20         | 10.0       | 14.48                  | 1848.1               | Stable            
1.20         | 12.5       | 11.89                  | 1798.7               | Stable            
1.20         | 15.0       | 9.65                   | 1750.1               | Stable            
1.20         | 17.5       | 7.79                   | 1701.4               | Stable            
1.20         | 20.0       | 6.19                   | 1653.0               | Stable            
1.20         | 22.5       | 4.81                   | 1606.0               | Stable            
1.20         | 25.0       | 3.69                   | 1559.3               | Stable            
1.20         | 27.5       | 2.76                   | 1512.8               | Quenched (Limit)  
1.30         | 0.0        | 25.30                  | 1951.4               | Stable            
1.30         | 2.5        | 21.09                  | 1902.3               | Stable            
1.30         | 5.0        | 17.49                  | 1853.0               | Stable            
1.30         | 7.5        | 14.44                  | 1804.4               | Stable            
1.30         | 10.0       | 11.81                  | 1756.5               | Stable            
1.30         | 12.5       | 9.60                   | 1708.8               | Stable            
1.30         | 15.0       | 7.72                   | 1662.3               | Stable            
1.30         | 17.5       | 6.12                   | 1615.9               | Stable            
1.30         | 20.0       | 4.76                   | 1569.9               | Stable            
1.30         | 22.5       | 3.65                   | 1525.6               | Stable            
1.30         | 25.0       | 2.75                   | 1480.9               | Quenched (Limit)  
